AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Often ,Sometimes ,Often ,Sometimes ,Often ,Slightly ,Instagram ,Often ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Moderately ,Sometimes ,Often ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always ,Often ,Significantly ,Moderately ,Often ,Always ,Always ,Often ,Often ,Always ,Slightly ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Sometimes ,Often ,Often ,Always ,Often ,Often ,Significantly ,YouTube ,Sometimes ,Moderately 
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes ,Often ,Not at all ,Significantly ,Rarely ,Sometimes ,Often ,Always ,Always ,Rarely ,Slightly ,TikTok ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Often ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Significantly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
